Event DateTime : 2020-08-30 13:43:03; Line : 02-001; Alarm type : 3; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:43:03; Line : 02-005; Alarm type : 4; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:43:04; Line : 02-005; Alarm type : 5; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:43:04; Line : 02-005; Alarm type : 5; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:45:06; Line : 02-001; Alarm type : 3; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:45:07; Line : 02-001; Alarm type : 3; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:45:08; Line : 02-001; Alarm type : 4; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:45:08; Line : 02-001; Alarm type : 4; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:45:20; Line : 02-005; Alarm type : 5; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:45:20; Line : 02-005; Alarm type : 5; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:45:21; Line : 02-005; Alarm type : 5; New Color : Green; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:46:39; Line : 02-005; Alarm type : 4; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:46:41; Line : 02-005; Alarm type : 4; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:46:41; Line : 02-005; Alarm type : 3; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:46:42; Line : 02-005; Alarm type : 3; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:46:43; Line : 02-005; Alarm type : 4; New Color : Green; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:46:44; Line : 02-005; Alarm type : 3; New Color : Green; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:28; Line : 02-001; Alarm type : 3; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:28; Line : 02-005; Alarm type : 3; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:30; Line : 02-005; Alarm type : 5; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:30; Line : 02-001; Alarm type : 4; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:32; Line : 02-001; Alarm type : 4; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:43; Line : 02-005; Alarm type : 1; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:45; Line : 02-005; Alarm type : 1; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:46; Line : 02-005; Alarm type : 1; New Color : Green; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:47; Line : 02-005; Alarm type : 2; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:48; Line : 02-005; Alarm type : 2; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:49; Line : 02-005; Alarm type : 2; New Color : Green; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:50; Line : 02-001; Alarm type : 1; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:51; Line : 02-001; Alarm type : 1; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:51; Line : 02-001; Alarm type : 1; New Color : Green; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:57; Line : 02-001; Alarm type : 4; New Color : Green; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:57; Line : 02-001; Alarm type : 4; New Color : Yellow; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:58; Line : 02-001; Alarm type : 4; New Color : Red; Length of alarm (minutes) : 0
Event DateTime : 2020-08-30 13:51:58; Line : 02-001; Alarm type : 4; New Color : Green; Length of alarm (minutes) : 0
