Event DateTime | 2020-11-20T20:14:42; Workstation | 010; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-20T20:47:37; Workstation | 010; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 1975
Event DateTime | 2020-11-20T20:47:43; Workstation | 010; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-20T21:00:29; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 766
Event DateTime | 2020-11-21T20:16:19; Workstation | 010; Alarm type | 2; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-21T20:16:21; Workstation | 03A; Alarm type | 0; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-11-21T20:16:22; Workstation | 010; Alarm type | 2; New Color | Green; Length of alarm (seconds) | 3
Event DateTime | 2020-11-21T20:16:22; Workstation | 03A; Alarm type | 0; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-11-22T09:15:26; Workstation | 010; Alarm type | 2; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-11-22T09:15:35; Workstation | 010; Alarm type | 2; New Color | Green; Length of alarm (seconds) | 9
Event DateTime | 2020-12-24T13:25:58; Workstation | 010; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:26:01; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 2
Event DateTime | 2020-12-24T13:26:03; Workstation | 010; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:26:11; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 7
Event DateTime | 2020-12-24T13:26:13; Workstation | 010; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:26:39; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 25
Event DateTime | 2020-12-24T13:27:10; Workstation | 010; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:31:39; Workstation | 010; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 268
Event DateTime | 2020-12-24T13:37:21; Workstation | 010; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T13:37:29; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 7
Event DateTime | 2020-12-24T14:21:49; Workstation | 010; Alarm type | 2; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:21:50; Workstation | 010; Alarm type | 2; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-12-24T14:21:53; Workstation | 03A; Alarm type | 0; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:21:54; Workstation | 03A; Alarm type | 0; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-12-24T14:21:56; Workstation | 010; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:21:57; Workstation | 010; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 1
Event DateTime | 2020-12-24T14:36:16; Workstation | 03A; Alarm type | 4; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:36:23; Workstation | 010; Alarm type | 0; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:36:29; Workstation | 010; Alarm type | 0; New Color | Green; Length of alarm (seconds) | 6
Event DateTime | 2020-12-24T14:36:32; Workstation | 03A; Alarm type | 4; New Color | Green; Length of alarm (seconds) | 15
Event DateTime | 2020-12-24T14:39:40; Workstation | 010; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-24T14:45:13; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 333
Event DateTime | 2020-12-29T15:02:46; Workstation | 010; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-29T15:02:50; Workstation | 03A; Alarm type | 3; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-29T15:02:53; Workstation | 03A; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 2
Event DateTime | 2020-12-29T15:02:54; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 8
Event DateTime | 2020-12-29T15:02:59; Workstation | 010; Alarm type | 1; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-29T15:03:01; Workstation | 010; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 2
Event DateTime | 2020-12-29T15:03:06; Workstation | 03A; Alarm type | 1; New Color | Yellow; Length of alarm (seconds) | 0
Event DateTime | 2020-12-29T15:03:25; Workstation | 010; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-29T15:03:29; Workstation | 010; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 4
Event DateTime | 2020-12-29T15:03:37; Workstation | 010; Alarm type | 3; New Color | Red; Length of alarm (seconds) | 0
Event DateTime | 2020-12-29T15:03:47; Workstation | 010; Alarm type | 3; New Color | Green; Length of alarm (seconds) | 9
Event DateTime | 2020-12-29T15:03:50; Workstation | 03A; Alarm type | 1; New Color | Green; Length of alarm (seconds) | 43
